bond,angle,hf,vqe,exact,n_qubits,n_params,n_evaluations
0.9,140.0,-200.29490084219623,-200.30724844572055,-200.3356791902135,6,20,1000
0.9,150.0,-200.30368009404094,-200.32228153129492,-200.34527801746543,6,20,1000
1.05,150.0,-201.06423732463796,-201.09634057349626,-201.11842024811557,6,20,1000
1.2000000000000002,150.0,-201.25979243216855,-201.30222131930762,-201.32166164425004,6,20,1000
1.35,150.0,-201.23126466632834,-201.2751958536533,-201.29039663236307,6,20,1000
1.5,150.0,-201.12947919793825,-201.1570115821509,-201.17058375777987,6,20,1000
1.6500000000000001,150.0,-201.03193074355949,-201.04083692549716,-201.04680169623833,6,20,1000
1.8000000000000003,150.0,-200.96848348575998,-200.97000988600908,-200.97080471256442,6,20,1000
1.9500000000000002,150.0,-200.93589649871785,-200.935953097606,-200.9363449652847,6,20,1000
2.1,150.0,-200.91640812850352,-200.91641483740952,-200.9164734270308,6,20,911
2.25,150.0,-200.8657830507348,-200.86581763591428,-200.89205222326297,6,20,1000
2.4000000000000004,150.0,-200.8878422199038,-200.88784221850162,-200.88889787134624,6,20,404
2.4000000000000004,160.0,-200.8694479525701,-200.86944796192543,-200.88157361317766,6,20,160
2.25,160.0,-200.86542382047068,-200.86542383550056,-200.8923898745578,6,20,153
2.1,160.0,-200.85853284344282,-200.8993870465706,-200.90679052980835,6,20,1000
1.9500000000000002,160.0,-200.9366607474721,-200.9366729203883,-200.93698354536613,6,20,1000
1.8000000000000003,160.0,-200.96995198882678,-200.97096285913048,-200.97231602720242,6,20,1000
1.6500000000000001,160.0,-201.03277932704503,-201.0413553941485,-201.04739685349546,6,20,1000
1.5,160.0,-201.1262035348807,-201.15220082779678,-201.16534655770047,6,20,1000
1.35,160.0,-201.22142803563406,-201.26570193909785,-201.27854308968676,6,20,1000
1.2000000000000002,160.0,-201.24656646287517,-201.2947763783906,-201.30837292787874,6,20,1000
1.05,160.0,-201.05046277978758,-201.09174752324793,-201.10591083556042,6,20,1000
0.9,160.0,-200.29333623617433,-200.318792122951,-200.3365740314072,6,20,1000
0.9,170.0,-200.27537577490048,-200.31339117874265,-200.32085550023052,6,20,1000
1.05,170.0,-201.03469116775946,-201.08287795577303,-201.09188433953275,6,20,1000
1.2000000000000002,170.0,-201.2337169172665,-201.28799526691395,-201.29582564965784,6,20,1000
1.35,170.0,-201.2131910692739,-201.26007176166073,-201.2687263591669,6,20,1000
1.5,170.0,-201.1237589844135,-201.14985834887804,-201.16146354391546,6,20,1000
1.6500000000000001,170.0,-201.03321578672495,-201.04225054809743,-201.04764905252705,6,20,1000
1.8000000000000003,170.0,-200.97082747698306,-200.97245123628352,-200.97321653226024,6,20,1000
1.9500000000000002,170.0,-200.9371360788942,-200.9372841993935,-200.93739884062686,6,20,1000
2.1,170.0,-200.8582362319692,-200.89644253040998,-200.90731488487708,6,20,1000
2.25,170.0,-200.86519782460294,-200.88034576072064,-200.8925670215461,6,20,1000
2.4000000000000004,170.0,-200.86927841796145,-200.86832898072265,-200.88141343658216,6,20,1000
2.4000000000000004,180.0,-200.8484019365937,-200.85638705375112,-200.85860575840124,6,20,1000
2.25,180.0,-200.86512077644386,-200.88763254357582,-200.89262218546196,6,20,446
2.1,180.0,-200.8581345786917,-200.89998100621716,-200.90748533022577,6,20,384
1.9500000000000002,180.0,-200.93729737203435,-200.93734466539436,-200.93754238076562,6,20,225
1.8000000000000003,180.0,-200.9711184215348,-200.97153646111084,-200.97351558553038,6,20,551
1.6500000000000001,180.0,-200.83528604902241,-200.94072660946242,-200.9438419019132,6,20,1000
1.5,180.0,-200.95286398547768,-201.073034817485,-201.0754258178536,6,20,383
1.35,180.0,-201.20982546909286,-201.2465260281775,-201.26473270378114,6,20,1000
1.2000000000000002,180.0,-201.22801650643322,-201.28442227715811,-201.29044169046045,6,20,1000
1.05,180.0,-201.0273320001439,-201.0831614896738,-201.0855640195728,6,20,1000
0.9,180.0,-200.2660733585899,-200.31170898813693,-200.31286084032843,6,20,933
